unique_id,date,y
CA_1,2013-01-01,1888
CA_2,2013-01-01,1320
CA_3,2013-01-01,2454
CA_4,2013-01-01,1031
TX_1,2013-01-01,1607
TX_2,2013-01-01,2469
TX_3,2013-01-01,1773
WI_1,2013-01-01,1365
WI_2,2013-01-01,1506
WI_3,2013-01-01,1415
CA_1,2013-01-02,2508
CA_2,2013-01-02,1587
CA_3,2013-01-02,3932
CA_4,2013-01-02,1226
TX_1,2013-01-02,1522
TX_2,2013-01-02,2342
TX_3,2013-01-02,1733
WI_1,2013-01-02,1808
WI_2,2013-01-02,3177
WI_3,2013-01-02,2813
CA_1,2013-01-03,2813
CA_2,2013-01-03,1622
CA_3,2013-01-03,4332
CA_4,2013-01-03,1311
TX_1,2013-01-03,1979
TX_2,2013-01-03,2922
TX_3,2013-01-03,2079
WI_1,2013-01-03,1922
WI_2,2013-01-03,3964
WI_3,2013-01-03,3212
CA_1,2013-01-04,2962
CA_2,2013-01-04,1637
CA_3,2013-01-04,4168
CA_4,2013-01-04,1387
TX_1,2013-01-04,1620
TX_2,2013-01-04,2429
TX_3,2013-01-04,1782
WI_1,2013-01-04,2014
WI_2,2013-01-04,2838
WI_3,2013-01-04,2520
CA_1,2013-01-05,3320
CA_2,2013-01-05,2162
CA_3,2013-01-05,4793
CA_4,2013-01-05,1484
TX_1,2013-01-05,2403
TX_2,2013-01-05,3300
TX_3,2013-01-05,2230
WI_1,2013-01-05,3001
WI_2,2013-01-05,4344
WI_3,2013-01-05,3950
CA_1,2013-01-06,3557
CA_2,2013-01-06,1942
CA_3,2013-01-06,5417
CA_4,2013-01-06,1789
TX_1,2013-01-06,2390
TX_2,2013-01-06,4080
TX_3,2013-01-06,2656
WI_1,2013-01-06,2545
WI_2,2013-01-06,4149
WI_3,2013-01-06,3939
CA_1,2013-01-07,2847
CA_2,2013-01-07,1548
CA_3,2013-01-07,4252
CA_4,2013-01-07,1472
TX_1,2013-01-07,2241
TX_2,2013-01-07,3137
TX_3,2013-01-07,2414
WI_1,2013-01-07,1776
WI_2,2013-01-07,2661
WI_3,2013-01-07,2351
CA_1,2013-01-08,2449
CA_2,2013-01-08,1503
CA_3,2013-01-08,4325
CA_4,2013-01-08,1246
TX_1,2013-01-08,1712
TX_2,2013-01-08,2254
TX_3,2013-01-08,1826
WI_1,2013-01-08,1550
WI_2,2013-01-08,3338
WI_3,2013-01-08,2927
CA_1,2013-01-09,2118
CA_2,2013-01-09,1233
CA_3,2013-01-09,3809
CA_4,2013-01-09,1261
TX_1,2013-01-09,1815
TX_2,2013-01-09,2150
TX_3,2013-01-09,1842
WI_1,2013-01-09,1717
WI_2,2013-01-09,3836
WI_3,2013-01-09,3103
CA_1,2013-01-10,2543
CA_2,2013-01-10,1459
CA_3,2013-01-10,4089
