unique_id,date,y
FOODS_1_085,2013-01-01,89
FOODS_1_218,2013-01-01,176
FOODS_2_128,2013-01-01,94
FOODS_2_197,2013-01-01,68
FOODS_2_276,2013-01-01,33
FOODS_2_360,2013-01-01,159
FOODS_3_007,2013-01-01,121
FOODS_3_030,2013-01-01,132
FOODS_3_080,2013-01-01,112
FOODS_3_090,2013-01-01,460
FOODS_3_099,2013-01-01,96
FOODS_3_120,2013-01-01,14
FOODS_3_150,2013-01-01,28
FOODS_3_202,2013-01-01,119
FOODS_3_226,2013-01-01,132
FOODS_3_234,2013-01-01,114
FOODS_3_252,2013-01-01,180
FOODS_3_281,2013-01-01,97
FOODS_3_282,2013-01-01,0
FOODS_3_288,2013-01-01,0
FOODS_3_295,2013-01-01,57
FOODS_3_318,2013-01-01,162
FOODS_3_319,2013-01-01,74
FOODS_3_329,2013-01-01,139
FOODS_3_376,2013-01-01,134
FOODS_3_377,2013-01-01,105
FOODS_3_389,2013-01-01,81
FOODS_3_412,2013-01-01,76
FOODS_3_458,2013-01-01,30
FOODS_3_462,2013-01-01,106
FOODS_3_491,2013-01-01,129
FOODS_3_498,2013-01-01,70
FOODS_3_501,2013-01-01,96
FOODS_3_541,2013-01-01,87
FOODS_3_547,2013-01-01,117
FOODS_3_555,2013-01-01,194
FOODS_3_586,2013-01-01,371
FOODS_3_587,2013-01-01,218
FOODS_3_607,2013-01-01,66
FOODS_3_635,2013-01-01,91
FOODS_3_681,2013-01-01,49
FOODS_3_694,2013-01-01,143
FOODS_3_711,2013-01-01,60
FOODS_3_714,2013-01-01,101
FOODS_3_723,2013-01-01,175
FOODS_3_752,2013-01-01,48
FOODS_3_764,2013-01-01,140
FOODS_3_804,2013-01-01,76
FOODS_3_808,2013-01-01,84
FOODS_3_811,2013-01-01,61
FOODS_1_085,2013-01-02,96
FOODS_1_218,2013-01-02,148
FOODS_2_128,2013-01-02,153
FOODS_2_197,2013-01-02,109
FOODS_2_276,2013-01-02,54
FOODS_2_360,2013-01-02,242
FOODS_3_007,2013-01-02,25
FOODS_3_030,2013-01-02,103
FOODS_3_080,2013-01-02,115
FOODS_3_090,2013-01-02,720
FOODS_3_099,2013-01-02,155
FOODS_3_120,2013-01-02,47
FOODS_3_150,2013-01-02,55
FOODS_3_202,2013-01-02,121
FOODS_3_226,2013-01-02,133
FOODS_3_234,2013-01-02,234
FOODS_3_252,2013-01-02,152
FOODS_3_281,2013-01-02,117
FOODS_3_282,2013-01-02,0
FOODS_3_288,2013-01-02,0
FOODS_3_295,2013-01-02,86
FOODS_3_318,2013-01-02,150
FOODS_3_319,2013-01-02,77
FOODS_3_329,2013-01-02,246
FOODS_3_376,2013-01-02,186
FOODS_3_377,2013-01-02,99
FOODS_3_389,2013-01-02,90
FOODS_3_412,2013-01-02,102
FOODS_3_458,2013-01-02,57
FOODS_3_462,2013-01-02,122
FOODS_3_491,2013-01-02,136
FOODS_3_498,2013-01-02,175
FOODS_3_501,2013-01-02,103
FOODS_3_541,2013-01-02,77
FOODS_3_547,2013-01-02,188
FOODS_3_555,2013-01-02,216
FOODS_3_586,2013-01-02,401
FOODS_3_587,2013-01-02,246
FOODS_3_607,2013-01-02,131
FOODS_3_635,2013-01-02,92
FOODS_3_681,2013-01-02,67
FOODS_3_694,2013-01-02,155
FOODS_3_711,2013-01-02,72
FOODS_3_714,2013-01-02,139
FOODS_3_723,2013-01-02,200
FOODS_3_752,2013-01-02,164
FOODS_3_764,2013-01-02,167
FOODS_3_804,2013-01-02,123
FOODS_3_808,2013-01-02,103
FOODS_3_811,2013-01-02,87
FOODS_1_085,2013-01-03,100
FOODS_1_218,2013-01-03,138
FOODS_2_128,2013-01-03,299
FOODS_2_197,2013-01-03,95
FOODS_2_276,2013-01-03,85
FOODS_2_360,2013-01-03,296
FOODS_3_007,2013-01-03,140
FOODS_3_030,2013-01-03,120
FOODS_3_080,2013-01-03,135
FOODS_3_090,2013-01-03,806
FOODS_3_099,2013-01-03,161
FOODS_3_120,2013-01-03,109
FOODS_3_150,2013-01-03,78
FOODS_3_202,2013-01-03,118
FOODS_3_226,2013-01-03,211
FOODS_3_234,2013-01-03,143
FOODS_3_252,2013-01-03,213
FOODS_3_281,2013-01-03,154
FOODS_3_282,2013-01-03,0
FOODS_3_288,2013-01-03,0
FOODS_3_295,2013-01-03,127
FOODS_3_318,2013-01-03,186
FOODS_3_319,2013-01-03,135
FOODS_3_329,2013-01-03,266
FOODS_3_376,2013-01-03,137
FOODS_3_377,2013-01-03,144
FOODS_3_389,2013-01-03,89
FOODS_3_412,2013-01-03,171
FOODS_3_458,2013-01-03,62
FOODS_3_462,2013-01-03,111
FOODS_3_491,2013-01-03,152
FOODS_3_498,2013-01-03,149
FOODS_3_501,2013-01-03,106
FOODS_3_541,2013-01-03,101
FOODS_3_547,2013-01-03,174
FOODS_3_555,2013-01-03,237
FOODS_3_586,2013-01-03,422
FOODS_3_587,2013-01-03,229
FOODS_3_607,2013-01-03,144
FOODS_3_635,2013-01-03,127
FOODS_3_681,2013-01-03,80
FOODS_3_694,2013-01-03,197
FOODS_3_711,2013-01-03,130
FOODS_3_714,2013-01-03,142
FOODS_3_723,2013-01-03,211
FOODS_3_752,2013-01-03,200
FOODS_3_764,2013-01-03,185
FOODS_3_804,2013-01-03,124
FOODS_3_808,2013-01-03,131
FOODS_3_811,2013-01-03,63
FOODS_1_085,2013-01-04,101
FOODS_1_218,2013-01-04,125
FOODS_2_128,2013-01-04,192
FOODS_2_197,2013-01-04,111
FOODS_2_276,2013-01-04,66
FOODS_2_360,2013-01-04,247
FOODS_3_007,2013-01-04,119
FOODS_3_030,2013-01-04,92
FOODS_3_080,2013-01-04,121
FOODS_3_090,2013-01-04,867
FOODS_3_099,2013-01-04,137
FOODS_3_120,2013-01-04,24
FOODS_3_150,2013-01-04,80
FOODS_3_202,2013-01-04,129
FOODS_3_226,2013-01-04,183
FOODS_3_234,2013-01-04,251
FOODS_3_252,2013-01-04,199
FOODS_3_281,2013-01-04,131
FOODS_3_282,2013-01-04,0
FOODS_3_288,2013-01-04,0
FOODS_3_295,2013-01-04,129
FOODS_3_318,2013-01-04,226
FOODS_3_319,2013-01-04,119
